"Incident-based crime statistics, by detailed violations, police services in the Atlantic provinces c 1 2 3 4 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 35-10-0178-01 (formerly CANSIM 252-0075),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2025-07-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Geography: Province or territory, Policing district/zone",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Violations,"Total, all violations  [0]",,,,,"Total, all Criminal Code violations (including traffic)  [25]",,,,,"Total, all Criminal Code violations (excluding traffic)  [50]",,,,,Total violent Criminal Code violations  [100] 8,,,,,Total property crime violations  [200],,,,,Total other Criminal Code violations  [300],,,,,Total Criminal Code traffic violations  [900] 9,,,,,Total impaired driving  [910] 9 10 11,,,,,Total other Criminal Code traffic violations  [920] 9,,,,,Total Federal Statute violations  [400],,,,,Total Drug violations  [401],,,,,"Possession, cannabis (pre-legalization)  [4140] 12",,,,,"Possession, cocaine  [4120] 13",,,,,"Total, possession, other Controlled Drugs and Substances Act drugs  [410] 13",,,,,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 12 14 15",,,,,"Total cocaine, trafficking, production or distribution  [430]",,,,,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440]",,,,,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 14 16",,,,,Total Cannabis Act  [450] 12 15,,,,,Youth Criminal Justice Act  [6450],,,,,Total other Federal Statutes  [610],,,,,Bankruptcy Act  [6100],,,,,Income Tax Act  [6150],,,,,Canada Shipping Act  [6200],,,,,Canada Health Act  [6250],,,,,Customs Act  [6300],,,,,Competition Act  [6350],,,,,Excise Act  [6400],,,,,Total Immigration and Refugee Protection Act  [620] 17,,,,,Firearms Act  [6550],,,,,National Defence Act  [6560],,,,,Quarantine Act  [6600],,,,,Other federal statutes  [6900],,,,
"Burgeo, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10013] 18",,34,38,14,22,24,33,36,14,22,24,29,28,14,20,24,9,11,3,4,8,14,8,6,11,10,6,9,5,5,6,4,8,0,2,0,4,5,0,1,0,0,3,0,1,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Port Saunders, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10014] 18",,162,115,100,109,115,149,107,97,107,108,123,101,89,94,95,50,39,38,34,41,55,39,33,42,33,18,23,18,18,21,26,6,8,13,13,26,6,8,11,11,0,0,0,2,2,13,8,3,2,7,11,7,3,1,6,0,0,0,0,0,4,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,3,1,1,3,2,1,1,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
"Roddickton, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10015] 18",,63,87,111,73,107,61,82,109,71,101,55,80,108,69,99,22,39,47,29,39,28,28,47,31,45,5,13,14,9,15,6,2,1,2,2,6,2,1,2,1,0,0,0,0,1,2,5,2,2,6,2,4,2,2,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Harbour Breton, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10016] 18",,124,162,141,140,137,115,146,133,127,128,100,130,120,115,110,46,56,46,43,39,38,44,43,51,48,16,30,31,21,23,15,16,13,12,18,15,16,13,10,14,0,0,0,2,4,9,16,8,13,9,6,9,7,9,9,0,0,0,0,0,1,0,0,0,5,1,2,0,0,0,0,0,0,0,0,3,2,6,7,2,1,4,1,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,3,7,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
"Bay d'Espoir, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10017] 18",,117,117,122,134,181,109,108,113,112,163,88,88,104,99,151,31,38,41,38,60,47,36,49,44,68,10,14,14,17,23,21,20,9,13,12,18,20,7,10,8,3,0,2,3,4,8,9,9,22,18,6,9,8,21,17,0,0,0,0,0,0,1,0,3,3,0,0,0,0,2,0,0,0,0,0,4,7,8,17,12,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
"Baie Verte, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10018] 18",,106,139,116,145,136,96,132,112,142,133,84,108,104,130,123,30,43,38,53,43,34,53,48,48,56,20,12,18,29,24,12,24,8,12,10,11,23,8,12,10,1,1,0,0,0,10,7,4,3,3,6,2,4,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0
"Deer Lake, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10019] 18",,577,654,640,769,755,539,618,600,736,704,483,571,545,656,622,140,174,170,160,169,243,297,283,372,332,100,100,92,124,121,56,47,55,80,82,53,40,50,62,55,3,7,5,18,27,38,36,40,33,51,37,28,36,30,41,0,0,0,0,0,10,3,4,4,4,0,2,5,0,2,0,0,0,0,0,13,14,18,18,24,10,8,8,7,11,0,0,0,0,0,4,1,1,1,0,0,0,0,0,4,1,8,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,5
"Rocky Harbour, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10020] 18",,180,160,166,170,240,174,156,152,161,222,144,145,138,141,187,36,38,29,37,60,64,86,76,73,97,44,21,33,31,30,30,11,14,20,35,29,11,14,18,35,1,0,0,2,0,6,4,14,9,18,5,1,12,8,17,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,2,0,9,7,9,1,1,2,1,3,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
"Springdale, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10021] 18",,367,293,318,352,277,345,276,299,333,272,317,248,266,309,250,130,82,75,94,84,115,111,135,144,114,72,55,56,71,52,28,28,33,24,22,23,20,27,18,21,5,8,6,6,1,22,17,19,19,5,18,15,18,16,5,0,0,0,0,0,1,0,2,1,2,4,4,3,0,0,0,0,0,0,0,3,7,8,13,3,9,2,4,2,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"Flower's Cove, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10022] 18",,20,39,28,23,24,20,39,27,23,22,15,35,25,19,17,6,13,5,5,6,7,20,12,11,11,2,2,8,3,0,5,4,2,4,5,5,4,2,4,5,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"St. Anthony, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10023] 18",,77,134,138,172,152,75,127,129,160,143,65,113,121,147,133,20,36,36,51,41,37,62,68,71,68,8,15,17,25,24,10,14,8,13,10,8,8,6,12,9,2,6,2,1,1,2,7,9,12,9,2,6,6,7,8,0,0,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0,1,4,2,3,6,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"Bell Island, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10024] 18",,264,276,374,400,297,247,260,357,376,276,240,251,348,365,252,60,59,81,100,71,123,143,190,177,119,57,49,77,88,62,7,9,9,11,24,5,6,6,6,17,2,3,3,5,7,17,16,17,24,21,13,15,13,21,19,0,0,0,0,0,0,2,1,2,1,0,1,0,1,0,0,0,0,0,0,6,9,9,13,15,4,1,3,4,3,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,4,1,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1
"Fogo, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10025] 18",,51,50,68,59,92,50,48,68,58,88,47,42,63,53,82,22,16,16,17,31,18,19,36,28,43,7,7,11,8,8,3,6,5,5,6,2,4,5,4,3,1,2,0,1,3,1,2,0,1,4,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Clarenville, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10026] 18",,878,1065,1046,1055,971,826,1006,954,963,930,727,925,847,853,829,175,203,231,206,207,403,488,407,446,433,149,234,209,201,189,99,81,107,110,101,91,73,94,101,80,8,8,13,9,21,52,59,92,92,41,43,56,79,74,35,0,0,0,0,0,5,5,10,12,7,3,3,4,6,2,0,0,0,0,0,26,30,50,47,17,8,17,13,9,7,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,9,3,13,18,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,8,13,3,0,0,0,0,0,4,0,1,1,1,0,0,0,0,0,0,1,0,0,0,3,2,3,4,2
"Bonavista, Newfoundland and Labrador, Royal Canadian Mounted Police, rural [10027] 18",,417,487,532,525,586,396,460,512,495,547,359,418,472,444,506,129,130,136,129,119,155,207,210,245,279,75,81,126,70,108,37,42,40,51,41,35,33,31,42,28,2,9,9,9,13,21,27,20,30,39,18,22,18,26,30,0,0,0,0,0,1,4,2,1,6,1,3,0,0,1,0,0,0,0,0,8,9,9,20,18,5,6,6,4,3,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,3,5,2,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,7,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,1,2
